tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
validate-actions,automation/greetings.yml,,,,0,5.2754,0,0
validate-actions,automation/label.yml,,,,0,5.0018,0,0
validate-actions,automation/manual.yml,,,,0,0.0041,0,0
validate-actions,automation/stale.yml,,,,0,5.1185,0,0
validate-actions,automation/summary.yml,,,,0,6.8725,0,0
validate-actions,ci/ada.yml,,,,0,12.8264,0,0
validate-actions,ci/android.yml,,,,0,11.1740,0,0
validate-actions,ci/ant.yml,,,,0,6.2972,0,0
validate-actions,ci/blank.yml,,,,0,6.2909,0,0
validate-actions,ci/c-cpp.yml,,,,0,4.7306,0,0
validate-actions,ci/clojure.yml,,,,0,6.3220,0,0
validate-actions,ci/cmake-multi-platform.yml,,,,0,18.7226,0,0
validate-actions,ci/cmake-single-platform.yml,,,,0,19.2133,0,0
validate-actions,ci/crystal.yml,,,,0,5.1004,0,0
validate-actions,ci/d.yml,,,,0,6.8185,0,0
validate-actions,ci/dart.yml,,,,0,18.1885,0,0
validate-actions,ci/datadog-synthetics.yml,,,,0,5.5601,0,0
validate-actions,ci/deno.yml,,,,0,5.7450,0,0
validate-actions,ci/django.yml,,,,0,14.5565,0,0
validate-actions,ci/docker-image.yml,,,,0,4.8963,0,0
validate-actions,ci/docker-publish.yml,,,,0,8.2883,0,0
validate-actions,ci/dotnet-desktop.yml,,,,0,6.9078,0,0
validate-actions,ci/dotnet.yml,,,,0,8.8485,0,0
validate-actions,ci/elixir.yml,,,,0,6.8831,0,0
validate-actions,ci/erlang.yml,,,,0,4.9680,0,0
validate-actions,ci/gem-push.yml,,,,0,6.6952,0,0
validate-actions,ci/generator-generic-ossf-slsa3-publish.yml,,,,0,5.7882,0,0
validate-actions,ci/go-ossf-slsa3-publish.yml,,,,0,0.0039,0,0
validate-actions,ci/go.yml,,,,0,5.3182,0,0
validate-actions,ci/gradle-publish.yml,,,,0,6.5929,0,0
validate-actions,ci/gradle.yml,,,,0,7.4434,0,0
validate-actions,ci/haskell.yml,,,,0,7.0955,0,0
validate-actions,ci/ios.yml,,,,0,5.0333,0,0
validate-actions,ci/jekyll-docker.yml,,,,0,4.6550,0,0
validate-actions,ci/laravel.yml,,,,0,6.6895,0,0
validate-actions,ci/makefile.yml,,,,0,5.5513,0,0
validate-actions,ci/maven-publish.yml,,,,0,5.3285,0,0
validate-actions,ci/maven.yml,,,,0,5.9450,0,0
validate-actions,ci/msbuild.yml,,,,0,5.4725,0,0
validate-actions,ci/node.js.yml,,,,0,7.0627,0,0
validate-actions,ci/npm-grunt.yml,,,,0,5.2316,0,0
validate-actions,ci/npm-gulp.yml,,,,0,6.1393,0,0
validate-actions,ci/npm-publish-github-packages.yml,,,,0,6.2687,0,0
validate-actions,ci/npm-publish.yml,,,,0,6.2073,0,0
validate-actions,ci/objective-c-xcode.yml,,,,0,4.8425,0,0
validate-actions,ci/php.yml,,,,0,5.5665,0,0
validate-actions,ci/pylint.yml,,,,0,6.2222,0,0
