tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
validate-actions,B_iterative_cml-playground_checks-pr__execution.yml,execution,nonexistent-seed-job,1,1,0.0036,1,0
validate-actions,B_iterative_cml-playground_checks-pr__schema.yml,schema,shell,1,1,0.0018,1,0
validate-actions,B_iterative_cml-playground_checks-pr__syntax.yml,syntax,syntax,1,2,0.0018,1,0
validate-actions,B_iterative_cml-playground_checks-publish__execution.yml,execution,nonexistent-seed-job,1,1,2.0987,1,0
validate-actions,B_iterative_cml-playground_checks-publish__schema.yml,schema,shell,1,1,1.0477,1,0
validate-actions,B_iterative_cml-playground_checks-publish__syntax.yml,syntax,syntax,1,2,0.0048,1,0
validate-actions,C_evidentlyai_evidently-ci-example_local__registry.yml,registry,unknown_input,1,1,2.1414,1,0
validate-actions,C_evidentlyai_evidently-ci-example_local__syntax.yml,syntax,syntax,1,3,0.0048,1,0
validate-actions,TheAlgorithms_Python_devcontainer_ci__execution.yml,execution,nonexistent-seed-job,1,1,3.2708,1,0
validate-actions,TheAlgorithms_Python_devcontainer_ci__registry.yml,registry,unknown_input,1,1,5.9017,1,0
validate-actions,TheAlgorithms_Python_devcontainer_ci__schema.yml,schema,shell,1,1,1.1164,1,0
validate-actions,TheAlgorithms_Python_devcontainer_ci__syntax.yml,syntax,syntax,1,2,0.0042,1,0
validate-actions,TheAlgorithms_Python_sphinx__execution.yml,execution,nonexistent-seed-job,1,1,4.6269,1,0
validate-actions,TheAlgorithms_Python_sphinx__registry.yml,registry,unknown_input,1,1,2.8801,1,0
validate-actions,TheAlgorithms_Python_sphinx__schema.yml,schema,shell,1,1,3.6940,1,0
validate-actions,TheAlgorithms_Python_sphinx__syntax.yml,syntax,syntax,1,3,0.0049,1,0
validate-actions,angular_angular_adev-preview-deploy__execution.yml,execution,nonexistent-seed-job,1,1,2.5493,1,0
validate-actions,angular_angular_adev-preview-deploy__registry.yml,registry,unknown_input,1,1,1.2267,1,0
validate-actions,angular_angular_adev-preview-deploy__schema.yml,schema,shell,1,1,1.0793,1,0
validate-actions,angular_angular_adev-preview-deploy__syntax.yml,syntax,syntax,1,2,0.0042,1,0
validate-actions,ant-design_ant-design_visual-regression-persist-finish__registry.yml,registry,unknown_input,0,2,0.0038,1,0
validate-actions,ant-design_ant-design_visual-regression-persist-finish__syntax.yml,syntax,syntax,1,2,0.0024,1,0
validate-actions,axios_axios_ci__execution.yml,execution,nonexistent-seed-job,1,1,3.0951,1,0
validate-actions,axios_axios_ci__registry.yml,registry,unknown_input,1,1,1.7707,1,0
validate-actions,axios_axios_ci__schema.yml,schema,shell,1,1,1.6193,1,0
validate-actions,axios_axios_ci__syntax.yml,syntax,syntax,1,2,0.0031,1,0
validate-actions,d3_d3_deploy__execution.yml,execution,nonexistent-seed-job,1,1,2.5888,1,0
validate-actions,d3_d3_deploy__registry.yml,registry,unknown_input,1,1,2.1915,1,0
validate-actions,d3_d3_deploy__schema.yml,schema,shell,1,1,2.5241,1,0
validate-actions,d3_d3_deploy__syntax.yml,syntax,syntax,1,3,0.0041,1,0
validate-actions,electron_electron_scorecards__registry.yml,registry,unknown_input,1,1,2.2318,1,0
validate-actions,electron_electron_scorecards__syntax.yml,syntax,syntax,1,3,0.0055,1,0
validate-actions,excalidraw_excalidraw_test__execution.yml,execution,nonexistent-seed-job,1,1,1.0247,1,0
validate-actions,excalidraw_excalidraw_test__registry.yml,registry,unknown_input,1,1,1.0850,1,0
validate-actions,excalidraw_excalidraw_test__schema.yml,schema,shell,1,1,0.9276,1,0
validate-actions,excalidraw_excalidraw_test__syntax.yml,syntax,syntax,1,2,0.0036,1,0
validate-actions,facebook_react_runtime_fuzz_tests__execution.yml,execution,nonexistent-seed-job,1,1,1.0879,1,0
validate-actions,facebook_react_runtime_fuzz_tests__registry.yml,registry,unknown_input,1,1,0.9650,1,0
validate-actions,facebook_react_runtime_fuzz_tests__schema.yml,schema,shell,0,0,1.2197,0,0
validate-actions,facebook_react_runtime_fuzz_tests__syntax.yml,syntax,syntax,1,2,0.0051,1,0
validate-actions,facebook_react_shared_cleanup_stale_branch_caches__execution.yml,execution,nonexistent-seed-job,1,1,0.0032,1,0
validate-actions,facebook_react_shared_cleanup_stale_branch_caches__schema.yml,schema,shell,1,1,0.0026,1,0
